iter	Logloss
0	0.6859984759
1	0.6797787493
2	0.6744601329
3	0.6684751701
4	0.6633629482
5	0.6574900456
6	0.6518786768
7	0.6462176722
8	0.6414389336
9	0.6356038103
10	0.629232869
11	0.6240940318
12	0.6191291088
13	0.6140223092
14	0.6095303325
15	0.6043412418
16	0.5994978606
17	0.5949785608
18	0.590031371
19	0.5859491008
20	0.5812048534
21	0.5759127949
22	0.5714475252
23	0.5661815626
24	0.5610416322
25	0.5569220385
26	0.552416453
27	0.5483059661
28	0.544144792
29	0.5400538708
30	0.5361390454
31	0.5318782229
32	0.5278788616
33	0.524817304
34	0.5211832134
35	0.5182685424
36	0.51408322
37	0.5096772491
38	0.5062128925
39	0.5027399837
40	0.4992007154
41	0.4950803803
42	0.4922092605
43	0.4892692675
44	0.485939726
45	0.4822283695
46	0.4787422057
47	0.475394942
48	0.4719111406
49	0.4686718364
50	0.4661736482
51	0.463664029
52	0.4603132634
53	0.4581108766
54	0.4553183231
55	0.4524916041
56	0.4499574457
57	0.4480267931
58	0.4452900568
59	0.4425979345
60	0.4402248598
61	0.4379038741
62	0.4353800424
63	0.4328725824
64	0.4305497432
65	0.4284943312
66	0.4263220854
67	0.4246120641
68	0.4226442685
69	0.420340672
70	0.4174445981
71	0.4157195589
72	0.4136022705
73	0.4112724748
74	0.4093825443
75	0.4070296046
76	0.4054232698
77	0.4029507544
78	0.4008801763
79	0.3988029646
80	0.3965278428
81	0.3952205955
82	0.3935009645
83	0.3913227407
84	0.3896089629
85	0.3876999554
86	0.3858390277
87	0.3844228877
88	0.3823420662
89	0.3804442805
90	0.3784094168
91	0.3768491663
92	0.3753672169
93	0.3738299159
94	0.3722829343
95	0.3712388964
96	0.369519421
97	0.3682047919
98	0.3667853866
99	0.3654452267
100	0.3643254937
101	0.3629886395
102	0.3613327664
103	0.3605394319
104	0.3590080714
105	0.3577204667
106	0.3565629937
107	0.3548368752
108	0.3538856115
109	0.3524992662
110	0.3511558439
111	0.349451966
112	0.3478901
113	0.3462845707
114	0.3450250485
115	0.343779609
116	0.34276599
117	0.3415138523
118	0.3405101393
119	0.3390090206
120	0.3374772079
121	0.3364285473
122	0.3353502455
123	0.3341534519
124	0.3326397798
125	0.33151141
126	0.3303486109
127	0.3292420219
128	0.3280424629
129	0.3270908429
130	0.3260095084
131	0.3245730725
132	0.3238399102
133	0.3227560928
134	0.3216103982
135	0.3206337557
136	0.3194829206
137	0.3183987777
138	0.3172936162
139	0.3162163703
140	0.3154328974
141	0.3144903114
142	0.313631
143	0.3125366183
144	0.3114264254
145	0.3104723118
146	0.3094573269
147	0.3083142895
148	0.3073599286
149	0.3063851396
150	0.3056052319
151	0.3049550697
152	0.3040363238
153	0.3032592415
154	0.3026674439
155	0.3021520907
156	0.301392844
157	0.300922234
158	0.3001155246
159	0.2991936473
160	0.2986326734
161	0.2978131949
162	0.297042165
163	0.2962419591
164	0.2954652542
165	0.2949168554
166	0.2940794906
167	0.2930707293
168	0.2924771407
169	0.2918932533
170	0.2909796707
171	0.2901815829
172	0.2895455818
173	0.2887194153
174	0.288165543
175	0.2875150912
176	0.2866312119
177	0.2860141537
178	0.2853651649
179	0.2848229278
180	0.2840580765
181	0.2833736769
182	0.2825604928
183	0.2821194446
184	0.2814610153
185	0.2809114117
186	0.2802850902
187	0.2798404285
188	0.2791576342
189	0.278589133
190	0.2777411331
191	0.2769262613
192	0.2764269809
193	0.2755937076
194	0.2749227845
195	0.2743131691
196	0.273792933
197	0.2732860814
198	0.2726471842
199	0.2722526351
200	0.271658975
201	0.271215465
202	0.2706450697
203	0.2702079887
204	0.2695981443
205	0.2689583462
206	0.2683629761
207	0.2676818989
208	0.2670824524
209	0.2661012525
210	0.2655470182
211	0.2648409672
212	0.2643629425
213	0.2638123794
214	0.2631801558
215	0.2627512056
216	0.2623074795
217	0.2617992518
218	0.2614667848
219	0.2609784189
220	0.2605630344
221	0.2599970128
222	0.2594196224
223	0.2586909554
224	0.2581263874
225	0.25780698
226	0.2569305593
227	0.2564714342
228	0.256105279
229	0.2555877868
230	0.2551328428
231	0.2545691894
232	0.2541404773
233	0.253659732
234	0.2532705268
235	0.2528101395
236	0.2522885995
237	0.2518885062
238	0.2513542478
239	0.2508370136
240	0.250510397
241	0.2499708792
242	0.2493486618
243	0.2487437262
244	0.2484102958
245	0.2481494447
246	0.2478677148
247	0.2472784047
248	0.2468986473
249	0.2465933551
250	0.2460824977
251	0.2456862397
252	0.2451903151
253	0.2449854363
254	0.2445944401
255	0.2442976773
256	0.2437416999
257	0.243283902
258	0.2429115729
259	0.2425967919
260	0.242308187
261	0.2418829624
262	0.2415247723
263	0.2410569717
264	0.2406875825
265	0.2404326557
266	0.2401276908
267	0.2396272158
268	0.2391236359
269	0.2387113859
270	0.2383384552
271	0.2379290157
272	0.2374242129
273	0.2371109836
274	0.2368032135
275	0.2367037836
276	0.2364199694
277	0.2360690413
278	0.2357320946
279	0.2354364807
280	0.2351699089
281	0.2349006121
282	0.2345684035
283	0.2339055361
284	0.2334224844
285	0.2330963491
286	0.232491646
287	0.2321610709
288	0.2317742113
289	0.2314878019
290	0.2311128579
291	0.2307578435
292	0.2305891682
293	0.2300159028
294	0.2294818428
295	0.2292632851
296	0.2289166593
297	0.2286099102
298	0.2283474344
299	0.2278553395
300	0.227341454
301	0.2270703795
302	0.2265741687
303	0.2262444895
304	0.2259281234
305	0.225535361
306	0.2250476985
307	0.224714581
308	0.2243166362
309	0.223544408
310	0.2230419213
311	0.2227713344
312	0.2225395834
313	0.2223303018
314	0.2219780315
315	0.2217274659
316	0.2213896863
317	0.221124139
318	0.2207221223
319	0.2203285987
320	0.2201030356
321	0.2197055408
322	0.2193097444
323	0.2190663032
324	0.2187862824
325	0.2185902972
326	0.2181598024
327	0.2178396511
328	0.2174393504
329	0.2171467153
330	0.2168734793
331	0.2165917405
332	0.2161483901
333	0.2159257568
334	0.215558272
335	0.2151906941
336	0.2144886323
337	0.2142849032
338	0.2140406754
339	0.2137266239
340	0.2132035535
341	0.2129235557
342	0.2126989817
343	0.2123819427
344	0.2119747449
345	0.2117586452
346	0.2114405341
347	0.2110782089
348	0.2107830823
349	0.2104646369
350	0.2100719029
351	0.2097231094
352	0.2094231079
353	0.20918206
354	0.2087738682
355	0.2084627737
356	0.2080922437
357	0.2076930678
358	0.2075250481
359	0.2073151094
360	0.2069445662
361	0.2065826991
362	0.206330624
363	0.2060952058
364	0.2058767003
365	0.205622642
366	0.2054624938
367	0.2051410584
368	0.2047241587
369	0.2045105362
370	0.2042552163
371	0.2038876856
372	0.2035178534
373	0.2031568904
374	0.2029609832
375	0.2026033916
376	0.2022497983
377	0.2018236187
378	0.2014652487
379	0.2012723129
380	0.2009286493
381	0.2004860543
382	0.2002414518
383	0.199951637
384	0.1997496137
385	0.199495046
386	0.1991729087
387	0.1986911243
388	0.1984806588
389	0.1981215318
390	0.1978037394
391	0.1975615217
392	0.1973557414
393	0.1971059845
394	0.1968107081
395	0.1965138612
396	0.196325504
397	0.1960526226
398	0.1958185658
399	0.1957133626
400	0.1955498686
401	0.1953867403
402	0.1949849615
403	0.1947054657
404	0.1943283598
405	0.1940289497
406	0.1938262019
407	0.1936431256
408	0.1935025562
409	0.1932884755
410	0.1930970392
411	0.1926791106
412	0.1923896684
413	0.1921482388
414	0.1917671261
415	0.1914932077
416	0.1911941675
417	0.1909601809
418	0.1905221614
419	0.190203601
420	0.1899793288
421	0.1897960719
422	0.1896496546
423	0.1891572703
424	0.1890323008
425	0.1886760965
426	0.1884899448
427	0.1882579059
428	0.1881056168
429	0.1878818536
430	0.1875875201
431	0.1872438365
432	0.1870076053
433	0.1868554226
434	0.1865843858
435	0.1861347984
436	0.1856368872
437	0.1852904217
438	0.1849387743
439	0.1844594375
440	0.184225926
441	0.1840222385
442	0.1837836983
443	0.1833944141
444	0.1831179161
445	0.1827907403
446	0.1825770257
447	0.1823734596
448	0.182172663
449	0.1819064145
450	0.1816489936
451	0.1813909548
452	0.1811250101
453	0.1809704649
454	0.1805994035
455	0.1803164621
456	0.1800714194
457	0.179766876
458	0.1795281859
459	0.1793599536
460	0.1791399026
461	0.178971046
462	0.1786018347
463	0.1783786878
464	0.1782741758
465	0.1781060895
466	0.1778694584
467	0.1777103633
468	0.1773101495
469	0.1769601835
470	0.1767693208
471	0.1765699217
472	0.1763388832
473	0.1761047717
474	0.1759105139
475	0.1756996914
476	0.1755465637
477	0.1752441979
478	0.1750527647
479	0.1747896939
480	0.1745903336
481	0.1742736813
482	0.1739856034
483	0.1737613918
484	0.1735553886
485	0.173194853
486	0.1727900138
487	0.1725877935
488	0.1724293326
489	0.1723004389
490	0.1721834466
491	0.1718156175
492	0.171583772
493	0.1714396901
494	0.1712627725
495	0.171107731
496	0.1707680805
497	0.1706335068
498	0.1704298922
499	0.1702002454
500	0.169940624
501	0.1698140983
502	0.1695173237
503	0.1693450876
504	0.1691231515
505	0.1690188689
506	0.1688483225
507	0.1686593279
508	0.1684693791
509	0.1681115292
510	0.1680073182
511	0.1677925568
512	0.1675473415
513	0.1673258796
514	0.1670848023
515	0.1667418777
516	0.1665124299
517	0.1663640352
518	0.1661346104
519	0.1659633938
520	0.1655434197
521	0.1653047954
522	0.165003752
523	0.1647270379
524	0.1644723885
525	0.164319684
526	0.1641144001
527	0.1639106527
528	0.1636381783
529	0.1634756542
530	0.1633426405
531	0.1631048036
532	0.1629422355
533	0.1627053524
534	0.1624060598
535	0.1622036686
536	0.1619011793
537	0.1616950058
538	0.1615433094
539	0.1613358941
540	0.1612374331
541	0.1609824114
542	0.1608332678
543	0.1606930386
544	0.1605311459
545	0.1603735143
546	0.1600026891
547	0.159705505
548	0.1595069762
549	0.1593310939
550	0.159149782
551	0.1587750448
552	0.1586885549
553	0.1584173146
554	0.1582764653
555	0.158094598
556	0.1578510163
557	0.1576892408
558	0.1575767611
559	0.1573634892
560	0.157111419
561	0.1569375034
562	0.1568235812
563	0.1567158987
564	0.1566147228
565	0.1564313007
566	0.1563444427
567	0.156132933
568	0.1560358545
569	0.1558827278
570	0.15557135
571	0.1553269401
572	0.1549481238
573	0.1546688175
574	0.154529249
575	0.1543860012
576	0.154175958
577	0.1539295751
578	0.1537531457
579	0.1534874981
580	0.153356697
581	0.153207435
582	0.1529409622
583	0.1527270557
584	0.1524117307
585	0.1521671265
586	0.1519565938
587	0.1518362342
588	0.151543692
589	0.1514151743
590	0.1512305238
591	0.1509037456
592	0.1507260873
593	0.1505504289
594	0.1504177538
595	0.1502125244
596	0.1501003354
597	0.1498935064
598	0.1496923904
599	0.14951879
600	0.1494417055
601	0.1493224031
602	0.1491454955
603	0.149002408
604	0.1488460659
605	0.1487481338
606	0.1485583369
607	0.148412398
608	0.1482817389
609	0.1481063094
610	0.1478997459
611	0.1477615355
612	0.1475428703
613	0.1474508581
614	0.1472842564
615	0.1471403719
616	0.1470099909
617	0.1469013221
618	0.1467682387
619	0.1465130432
620	0.1463559338
621	0.1462572954
622	0.146148722
623	0.145982674
624	0.1458570241
625	0.1456683623
626	0.1454295715
627	0.1452763208
628	0.1450946434
629	0.1449425931
630	0.1448062156
631	0.1445591849
632	0.1443848101
633	0.1441208873
634	0.143938966
635	0.1438167528
636	0.1436267718
637	0.1434932642
638	0.1432488492
639	0.1431641837
640	0.1429916968
641	0.1428538196
