iter	Passed	Remaining
0	3	3507
1	7	3732
2	11	3726
3	14	3578
4	17	3454
5	20	3439
6	23	3364
7	28	3480
8	31	3435
9	34	3390
10	38	3494
11	42	3492
12	45	3448
13	48	3408
14	51	3388
15	56	3444
16	59	3425
17	62	3405
18	65	3385
19	69	3409
20	73	3421
21	76	3409
22	79	3394
23	83	3402
24	87	3415
25	91	3420
26	94	3421
27	99	3451
28	102	3445
29	106	3445
30	110	3447
31	113	3443
32	117	3432
33	122	3476
34	125	3472
35	129	3474
36	133	3477
37	137	3493
38	141	3489
39	147	3545
40	152	3563
41	155	3550
42	159	3542
43	162	3536
44	169	3607
45	175	3641
46	184	3742
47	190	3779
48	200	3890
49	208	3956
50	213	3965
51	218	3974
52	224	4003
53	228	4011
54	233	4012
55	237	4011
56	244	4049
57	249	4058
58	255	4072
59	262	4116
60	267	4113
61	272	4122
62	278	4147
63	286	4184
64	291	4192
65	296	4200
66	302	4215
67	307	4221
68	318	4292
69	328	4365
70	340	4453
71	347	4476
72	356	4530
73	362	4537
74	367	4536
75	373	4545
76	379	4544
77	384	4544
78	391	4561
79	396	4558
80	403	4573
81	411	4603
82	417	4614
83	422	4606
84	428	4608
85	433	4602
86	438	4603
87	443	4599
88	448	4589
89	452	4573
90	456	4555
91	463	4573
92	468	4566
93	474	4574
94	479	4572
95	484	4561
96	491	4573
97	499	4594
98	504	4591
99	511	4601
100	515	4591
101	521	4593
102	529	4609
103	534	4609
104	539	4602
105	561	4735
106	567	4737
107	573	4739
108	580	4743
109	588	4760
110	596	4773
111	605	4797
112	614	4826
113	622	4841
114	628	4835
115	635	4841
116	641	4843
117	646	4830
118	654	4845
119	658	4831
120	663	4820
121	669	4819
122	675	4814
123	682	4822
124	686	4806
125	690	4792
126	698	4799
127	703	4789
128	707	4774
129	714	4779
130	718	4765
131	722	4748
132	726	4737
133	731	4725
134	736	4719
135	740	4706
136	745	4696
137	749	4682
138	753	4669
139	759	4664
140	762	4647
141	766	4632
142	770	4617
143	775	4611
144	780	4600
145	784	4587
146	789	4581
147	795	4579
148	810	4627
149	816	4628
150	823	4627
151	828	4620
152	832	4608
153	838	4606
154	845	4608
155	850	4599
156	857	4605
157	862	4595
158	872	4616
159	879	4615
160	885	4616
161	894	4628
162	902	4634
163	912	4652
164	919	4654
165	925	4649
166	933	4654
167	940	4656
168	948	4666
169	953	4654
170	959	4651
171	970	4673
172	977	4671
173	983	4669
174	988	4659
175	995	4663
176	1000	4653
177	1006	4647
178	1013	4649
179	1017	4637
180	1023	4633
181	1029	4625
182	1032	4610
183	1039	4611
184	1044	4599
185	1048	4587
186	1052	4577
187	1057	4565
188	1061	4555
189	1065	4542
190	1071	4537
191	1075	4524
192	1079	4511
193	1087	4517
194	1093	4515
195	1097	4501
196	1102	4493
197	1110	4499
198	1115	4491
199	1120	4483
200	1126	4478
201	1130	4467
202	1134	4455
203	1140	4450
204	1144	4438
205	1148	4425
206	1153	4420
207	1159	4413
208	1163	4404
209	1169	4401
210	1173	4388
211	1179	4383
212	1186	4382
213	1190	4371
214	1194	4361
215	1200	4357
216	1204	4344
217	1209	4337
218	1214	4329
219	1218	4320
220	1223	4312
221	1227	4302
222	1232	4293
223	1237	4288
224	1244	4287
225	1249	4280
226	1255	4275
227	1260	4269
228	1264	4258
229	1275	4269
230	1280	4261
231	1288	4266
232	1294	4262
233	1300	4256
234	1306	4254
235	1312	4250
236	1318	4245
237	1324	4241
238	1328	4230
239	1332	4219
240	1337	4211
241	1341	4203
242	1345	4191
243	1350	4183
244	1355	4177
245	1360	4169
246	1366	4165
247	1372	4161
248	1375	4149
249	1380	4140
250	1386	4137
251	1390	4128
252	1395	4119
253	1401	4116
254	1407	4112
255	1416	4115
256	1420	4106
257	1426	4103
258	1433	4101
259	1440	4098
260	1448	4102
261	1453	4093
262	1460	4091
263	1465	4084
264	1470	4077
265	1474	4068
266	1479	4060
267	1482	4050
268	1486	4040
269	1490	4031
270	1495	4023
271	1499	4012
272	1503	4003
273	1508	3995
274	1512	3986
275	1513	3970
276	1517	3960
277	1523	3955
278	1527	3947
279	1531	3937
280	1536	3932
281	1542	3926
282	1546	3918
283	1551	3911
284	1556	3904
285	1560	3896
286	1564	3885
287	1569	3880
288	1575	3876
289	1579	3865
290	1583	3858
291	1588	3851
292	1593	3845
293	1598	3837
294	1601	3828
295	1606	3819
296	1609	3810
297	1613	3801
298	1618	3793
299	1622	3786
300	1626	3776
301	1631	3770
302	1636	3763
303	1639	3753
304	1642	3742
305	1646	3735
306	1650	3726
307	1654	3716
308	1657	3707
309	1662	3699
310	1667	3693
311	1671	3685
312	1675	3676
313	1679	3669
314	1683	3660
315	1686	3651
316	1690	3642
317	1694	3633
318	1698	3625
319	1702	3616
320	1705	3607
321	1709	3599
322	1713	3592
323	1717	3583
324	1721	3575
325	1726	3570
326	1730	3561
327	1733	3552
328	1738	3546
329	1743	3539
330	1747	3532
331	1751	3524
332	1756	3519
333	1762	3513
334	1765	3504
335	1769	3497
336	1778	3498
337	1782	3490
338	1787	3486
339	1795	3485
340	1801	3481
341	1805	3474
342	1812	3471
343	1820	3471
344	1825	3465
345	1835	3468
346	1841	3465
347	1848	3462
348	1855	3460
349	1860	3454
350	1873	3464
351	1882	3465
352	1889	3463
353	1894	3456
354	1900	3453
355	1905	3446
356	1910	3441
357	1916	3437
358	1920	3429
359	1924	3421
360	1930	3416
361	1934	3409
362	1938	3401
363	1944	3397
364	1972	3432
365	1985	3439
366	1997	3445
367	2023	3475
368	2031	3473
369	2035	3465
370	2039	3457
371	2046	3454
372	2052	3449
373	2058	3445
374	2062	3438
375	2067	3431
376	2073	3426
377	2077	3418
378	2081	3410
379	2085	3402
380	2091	3398
381	2098	3394
382	2101	3386
383	2106	3379
384	2113	3376
385	2124	3378
386	2135	3381
387	2139	3374
388	2145	3369
389	2149	3362
390	2158	3361
391	2162	3353
392	2169	3351
393	2174	3345
394	2180	3339
395	2186	3335
396	2192	3330
397	2197	3323
398	2202	3317
399	2207	3311
400	2211	3303
401	2217	3298
402	2222	3292
403	2226	3284
404	2231	3279
405	2237	3273
406	2242	3266
407	2247	3261
408	2253	3256
409	2258	3250
410	2264	3245
411	2269	3238
412	2272	3230
413	2277	3224
414	2281	3216
415	2287	3211
416	2290	3202
417	2296	3196
418	2300	3190
419	2304	3182
420	2308	3175
421	2315	3171
422	2320	3164
423	2324	3157
424	2329	3151
425	2334	3145
426	2340	3140
427	2345	3135
428	2350	3128
429	2355	3121
430	2359	3114
431	2364	3108
432	2368	3101
433	2372	3094
434	2377	3088
435	2381	3080
436	2385	3073
437	2393	3070
438	2397	3063
439	2401	3056
440	2408	3052
441	2412	3045
442	2416	3037
443	2421	3032
444	2426	3026
445	2430	3019
446	2436	3013
447	2441	3008
448	2445	3000
449	2450	2994
450	2455	2988
451	2459	2981
452	2463	2974
453	2469	2970
454	2473	2962
455	2476	2954
456	2480	2947
457	2486	2942
458	2489	2934
459	2493	2927
460	2499	2922
461	2504	2916
462	2508	2909
463	2512	2902
464	2518	2897
465	2523	2891
466	2528	2885
467	2533	2880
468	2537	2873
469	2541	2866
470	2547	2861
471	2551	2854
472	2555	2847
473	2563	2845
474	2568	2838
475	2572	2831
476	2577	2825
477	2581	2819
478	2585	2811
479	2589	2805
480	2596	2801
481	2600	2794
482	2603	2786
483	2608	2781
484	2612	2774
485	2616	2767
486	2620	2760
487	2626	2755
488	2629	2748
489	2633	2741
490	2637	2733
491	2641	2727
492	2645	2720
493	2649	2713
494	2653	2707
495	2659	2702
496	2664	2696
497	2668	2690
498	2673	2684
499	2678	2678
500	2681	2670
501	2685	2663
502	2689	2657
503	2693	2650
504	2696	2643
505	2701	2637
506	2705	2631
507	2709	2623
508	2713	2617
509	2717	2611
510	2722	2604
511	2726	2598
512	2731	2593
513	2736	2587
514	2739	2580
515	2744	2574
516	2751	2570
517	2754	2563
518	2759	2556
519	2766	2554
520	2772	2548
521	2775	2541
522	2781	2537
523	2786	2531
524	2789	2524
525	2794	2518
526	2800	2513
527	2804	2507
528	2808	2500
529	2812	2494
530	2816	2488
531	2820	2481
532	2825	2475
533	2830	2470
534	2834	2463
535	2838	2457
536	2846	2453
537	2850	2447
538	2853	2440
539	2859	2435
540	2863	2429
541	2867	2422
542	2872	2417
543	2876	2411
544	2880	2405
545	2884	2398
546	2890	2393
547	2894	2387
548	2897	2380
549	2901	2373
550	2906	2368
551	2910	2362
552	2913	2355
553	2917	2348
554	2923	2344
555	2927	2337
556	2931	2331
557	2937	2326
558	2942	2321
559	2947	2316
560	2959	2316
561	2964	2310
562	2974	2309
563	2979	2302
564	2984	2297
565	2989	2292
566	2993	2286
567	2999	2281
568	3003	2275
569	3007	2268
570	3011	2262
571	3019	2259
572	3022	2252
573	3027	2246
574	3032	2241
575	3036	2235
576	3041	2229
577	3045	2223
578	3049	2217
579	3054	2211
580	3058	2205
581	3064	2201
582	3070	2196
583	3076	2191
584	3081	2185
585	3085	2179
586	3088	2173
587	3093	2167
588	3097	2161
589	3101	2154
590	3105	2148
591	3111	2144
592	3114	2137
593	3118	2131
594	3123	2126
595	3127	2120
596	3132	2114
597	3137	2109
598	3142	2103
599	3146	2097
600	3150	2091
601	3156	2086
602	3161	2081
603	3165	2075
604	3169	2069
605	3175	2064
606	3181	2059
607	3185	2054
608	3190	2048
609	3196	2043
610	3201	2038
611	3205	2032
612	3209	2026
613	3213	2020
614	3218	2014
615	3221	2008
616	3226	2002
617	3229	1996
618	3234	1991
619	3238	1984
620	3241	1978
621	3246	1973
622	3250	1966
623	3254	1961
624	3258	1954
625	3262	1948
626	3266	1943
627	3270	1937
628	3274	1931
629	3281	1926
630	3284	1920
631	3288	1914
632	3292	1908
633	3296	1902
634	3300	1896
635	3303	1890
636	3308	1885
637	3313	1879
638	3316	1873
639	3320	1867
640	3324	1862
641	3328	1856
642	3333	1850
643	3337	1844
644	3341	1839
645	3346	1833
646	3352	1828
647	3357	1823
648	3361	1818
649	3365	1812
650	3369	1806
651	3373	1800
652	3377	1794
653	3380	1788
654	3384	1782
655	3388	1777
656	3393	1771
657	3397	1765
658	3400	1759
659	3405	1754
660	3409	1748
661	3412	1742
662	3415	1736
663	3421	1731
664	3425	1725
665	3429	1719
666	3432	1713
667	3437	1708
668	3441	1702
669	3444	1696
670	3449	1691
671	3453	1685
672	3456	1679
673	3460	1673
674	3463	1667
675	3468	1662
676	3472	1656
